BPUIC1;BPUIC2;DISTANCE_GEODESIC;DISTANCE_EXACT
8500218;8500217;0.8422;1.3358
8506383;8506384;0.9493;
8508159;8508158;0.5237;
8506127;8506126;1.3219;1.3508
8506292;8506293;4.4966;
8500300;8500313;3.4051;3.4289
8507474;8507473;5.079;
8502113;8502112;4.451;
8501505;8501510;2.7648;2.7633
8501094;8501085;2.5613;
8506001;8506002;1.7303;1.9177
8503097;8503098;2.3534;
8503287;8503206;2.6495;
8501423;8501424;2.7494;2.754
8509072;8509071;2.6483;
8504103;8504191;0.7073;0.724
8506286;8506380;1.0559;
8500211;8508159;0.51;
8503403;8503404;3.4017;3.4361
8501263;8501262;0.4178;
8501058;8501065;0.8896;
8507492;8508301;2.7865;
8503102;8503101;1.6985;1.7347
8502219;8502218;2.5441;2.5473
8506354;8506353;1.0663;
8530783;8501159;1.67;
8504386;8530012;1.3692;
8501510;8501506;4.3632;4.3629
8505404;8505415;2.2648;2.31
8500022;8500023;2.1045;2.1761
8506049;8506048;5.0829;5.3205
8501400;8501554;0.5145;
8502214;8502213;5.9144;5.9823
8505300;8505399;1.1003;
8509059;8509058;1.084;
8503000;8503020;1.9101;1.9183
8506138;8506139;2.0085;2.0674
8505305;8517519;3.4493;
8501476;8517485;0.9651;
8503235;8503234;1.4677;1.5673
8501198;8501395;0.8752;
8504131;8504132;5.2927;5.4493
8503106;8503105;1.2007;1.2296
8509266;8509265;3.8652;
8509250;8509251;2.1257;
8506102;8506103;3.1488;3.4457
8508327;8508313;1.8876;
8500190;8500169;1.37;
8500122;8500123;2.8415;2.8982
8509357;8509356;3.8816;
8504062;8504063;5.5976;
8530712;8504325;0.5807;
8505473;8505491;0.8153;
8500117;8500118;2.3989;2.4512
8500211;8500210;5.1768;5.6891
8506104;8506105;3.8014;3.7975
8505393;8530790;0.7937;
8504383;8504384;2.4193;
8509063;8509062;1.4338;
8504218;8504217;4.9385;5.3458
8508202;8508201;3.0944;3.2974
8508212;8508211;3.901;4.0821
8500170;8500164;0.9117;
8504089;8504088;0.8261;
8503504;8503505;1.9683;2.1948
8506011;8506010;3.1626;3.6148
8503319;8503318;1.0433;1.0523
8503302;8503301;3.2885;3.3155
8507296;8507286;2.353;
8507492;8510470;1.8428;
8505404;8505412;4.9617;5.443
8500128;8500144;1.7912;1.9014
8509255;8509254;2.4041;
8504139;8504181;1.8112;1.8226
8504295;8504296;2.5304;
8502224;8502223;2.5258;2.7337
8501265;8501264;0.4588;
8500173;8500167;0.3491;
8506270;8506358;0.2841;
8501087;8501088;1.4759;
8502122;8502100;2.7087;2.722
8506302;8506301;3.5181;3.5905
8504201;8504200;2.7511;3.5772
8507478;8501605;37.2417;
8507085;8507086;1.8763;
8507070;8507094;1.695;
8501454;8593467;0.8394;
8504308;8504307;1.1522;1.1658
8501500;8501405;4.8116;4.9868
8501031;8501030;4.7052;4.7382
8506387;8506386;0.9344;
8504291;8530263;1.0647;
8502186;8502278;1.0576;
8503421;8503420;3.2241;
8503400;8506041;3.8485;3.9399
8500218;8500037;1.5906;3.0195
8509004;8509003;1.9611;2.0274
8503117;8506200;10.2757;
8500100;8500162;6.7399;
8501374;8501383;0.2003;
8501006;8501007;1.3232;1.339
8503207;8503206;3.3747;3.4855
8509157;8509156;2.4489;
8508068;8500207;2.4701;
8501471;8501470;3.7654;
8504101;8519133;4.6896;4.7375
8501404;8501405;3.5546;3.6541
8508213;8508215;6.9958;7.9905
8502206;8502208;8.6635;9.7956
8502005;8502006;3.2899;3.7898
8508068;8508066;3.1896;
8508089;8508088;1.1182;
8504310;8504309;1.688;1.7531
8504314;8504237;6.7877;8.4686
8508213;8508212;2.0868;2.2196
8501045;8501048;1.7407;1.7445
8507292;8507291;2.9089;
8503124;8503123;2.8346;2.859
8501081;8501090;0.9534;
8501447;8501495;0.4669;
8504412;8504413;4.0363;4.2338
8502004;8502005;2.8016;2.9367
8500302;8500301;3.3537;3.3606
8504232;8504231;1.1914;1.2205
8505493;8505492;0.645;
8506010;8506206;3.0554;3.2106
8507068;8507069;1.0947;
8506280;8506281;2.0847;
8504184;8504183;2.9938;
8508185;8508184;0.9186;
8506133;8506134;2.5015;2.6741
8503003;8503004;2.0758;2.2422
8501388;8501395;1.3473;
8504414;8504413;3.1582;3.4423
8506277;8506288;1.1554;
8501448;8501466;0.7706;
8502226;8502225;2.7398;2.8183
8504011;8504012;3.3219;3.848
8516154;8504489;1.1201;
8503400;8503313;4.7529;5.0161
8507083;8507091;0.6763;
8503141;8503101;0.9261;0.9322
8508302;8508301;2.6119;
8504404;8518749;3.4088;3.537
8530463;8501453;0.3101;
8506014;8506035;3.8988;4.359
8508085;8508086;3.7977;
8502020;8502009;4.925;5.5569
8501124;8501125;1.3858;1.4545
8516272;8516273;1.4407;1.464
8502024;8502042;0.8064;0.8448
8505417;8505401;2.3985;2.7218
8508201;8508200;3.8596;4.2328
8505178;8505179;1.0182;
8502166;8502165;1.53;
8500141;8500126;2.6944;3.2537
8503465;8503466;2.5502;
8518243;8503463;2.1409;
8505213;8505212;3.1916;3.366
8505585;8505581;2.1148;
8504101;8504102;5.0687;5.6453
8501683;8501605;6.9469;
8506121;8506122;3.7553;3.9631
8505394;8505390;0.5207;
8593774;8593773;0.4259;
8506311;8506322;1.2191;1.2216
8503423;8518924;0.7048;1.0755
8507296;8507297;1.8327;
8506036;8506020;1.2078;1.2178
8502272;8502269;1.8951;
8506373;8506374;0.6234;
8502191;8502192;0.8076;
8501304;8501303;4.4102;4.4994
8505306;8505307;2.6146;2.6318
8502023;8502042;1.8274;1.8767
8504075;8504074;2.5797;
8502200;8505000;4.5091;
8504419;8504300;2.6006;3.1185
8505491;8505492;1.0385;
8500144;8500127;3.2367;3.4564
8505112;8505111;5.2901;5.9179
8509067;8509068;1.6419;
8510470;8507388;0.9731;
8503305;8503303;3.312;4.4773
8503112;8503110;1.5133;2.141
8504386;8530011;0.9719;
8501390;8501381;0.4942;
8501488;8530246;0.2999;
8506174;8506173;1.1117;
8509169;8509168;3.1745;
8506311;8506278;0.896;
8509266;8509267;4.6226;
8503295;8503288;0.7457;
8506309;8506121;2.4096;
8505165;8505164;2.4512;
8508168;8508162;0.8341;
